symbol,angel_token,exchange,instrument_type,expiry
665ML30-SG,609,NSE,,
665PN50-SG,21716,NSE,,
665PN50A-SG,1757,NSE,,
665TR35-SG,1738,NSE,,
665TS40-SG,1742,NSE,,
665WB28-SG,3726,NSE,,
665WB30-SG,22176,NSE,,
666JH34-SG,1860,NSE,,
666KA32-SG,1248,NSE,,
666NBRD28-N0,758642,NSE,,
666RJ29-SG,759548,NSE,,
666SIDBI28-N0,758644,NSE,,
666TN29-SG,7050,NSE,,
666TN30-SG,22413,NSE,,
666TN35-SG,757430,NSE,,
667AP32-SG,756854,NSE,,
667GS2035-GS,5577,NSE,,
667GS2050-GS,956,NSE,,
667MH31-SG,29,NSE,,
667MH32-SG,1251,NSE,,
667NBFID30-N0,757483,NSE,,
667RJ30-SG,87,NSE,,
667RJ50-SG,22080,NSE,,
667TN50-SG,22375,NSE,,
667TS50-SG,1535,NSE,,
667UK30-SG,76,NSE,,
667UP30-SG,22414,NSE,,
667UP32-SG,756101,NSE,,
668AP33-SG,1378,NSE,,
668AP35-SG,22453,NSE,,
668AP35A-SG,1432,NSE,,
668AP35B-SG,757429,NSE,,
668AP39-SG,22455,NSE,,
668GA30-SG,22405,NSE,,
668GJ33-SG,756856,NSE,,
668GS2031-GS,7205,NSE,,
668GS2033-GS,760623,NSE,,
668GS2040-GS,757847,NSE,,
668HR38-SG,757035,NSE,,
668HR39-SG,22373,NSE,,
668JH32-SG,1376,NSE,,
668KA36-SG,1437,NSE,,
668MZ31-SG,1430,NSE,,
668RJ35-SG,756788,NSE,,
668TN55-SG,22134,NSE,,
668UP30-SG,92,NSE,,
668WB30-SG,22411,NSE,,
668WB35-SG,1532,NSE,,
669GJ34-SG,757109,NSE,,
669GJ35-SG,757110,NSE,,
669KA37-SG,1379,NSE,,
669MP30-SG,21992,NSE,,
669PN30-SG,590,NSE,,
669TN30-SG,179,NSE,,
669TN50-SG,22113,NSE,,
669TS40-SG,1655,NSE,,
669TS50-SG,22371,NSE,,
669UP30-SG,22097,NSE,,
66AS30-SG,1163,NSE,,
66AS30A-SG,1645,NSE,,
66GA30-SG,21389,NSE,,
66GA30A-SG,20,NSE,,
66GJ29-SG,21650,NSE,,
66HP30-SG,1221,NSE,,
66KA37-SG,1950,NSE,,
66MH31-SG,21937,NSE,,
66ML30-SG,1528,NSE,,
66ML30A-SG,1712,NSE,,
66MN30-SG,1368,NSE,,
66MZ30-SG,22017,NSE,,
66PN30-SG,1165,NSE,,
66RJ30-SG,18,NSE,,
66RJ30A-SG,611,NSE,,
66RJ30B-SG,1422,NSE,,
66RJ30C-SG,1715,NSE,,
66SK30-SG,1084,NSE,,
66TN29-SG,22129,NSE,,
66TN30-SG,22111,NSE,,
66UK31-SG,1854,NSE,,
66UP30-SG,1086,NSE,,
66UP30A-SG,1649,NSE,,
66UP31-SG,1842,NSE,,
66WB30-SG,1721,NSE,,
670GJ33-SG,757731,NSE,,
670RECL29-N0,758296,NSE,,
670RJ50-SG,22070,NSE,,
670TN50-SG,22128,NSE,,
671AP35-SG,756858,NSE,,
671MN40-SG,757036,NSE,,
671RJ30-SG,22077,NSE,,
671TN29-SG,6741,NSE,,
671TN35-SG,755926,NSE,,
671TN35A-SG,757111,NSE,,
671TS40-SG,1446,NSE,,
671TS50-SG,22457,NSE,,
671WB40-SG,1443,NSE,,
672AP28-SG,20914,NSE,,
672GA30-SG,20913,NSE,,
672GJ30-SG,3750,NSE,,
672HR35-SG,867,NSE,,
672KA33-SG,1166,NSE,,
672KL27-SG,2901,NSE,,
672MH38-SG,756063,NSE,,
672MH40-SG,756065,NSE,,
672PN30-SG,21786,NSE,,
672RJ30-SG,171,NSE,,
672TN27-SG,420,NSE,,
672TR40-SG,756814,NSE,,
673HPCL30-N0,756705,NSE,,
673KL28-SG,21903,NSE,,
673MP30-SG,21981,NSE,,
673PFCL27-N0,759021,NSE,,
673PN40-SG,1382,NSE,,
673RJ35-SG,757560,NSE,,
673SK30-SG,173,NSE,,
673TN30-SG,22122,NSE,,
673TN40-SG,1254,NSE,,
673TS50-SG,1256,NSE,,
674AP37-SG,756859,NSE,,
674GA30-SG,165,NSE,,
674MH29-SG,758843,NSE,,
674SIDBI29-N0,759983,NSE,,
674TN50-SG,22112,NSE,,
674TS50-SG,1386,NSE,,
674UK35-SG,756092,NSE,,
674UK35A-SG,757561,NSE,,
674UP30-SG,161,NSE,,
675AS40-SG,756061,NSE,,
675BR27-SG,4980,NSE,,
675GJ27-SG,29517,NSE,,
675GJ29-SG,6093,NSE,,
675GJ31-SG,4575,NSE,,
675GS2029-GS,28530,NSE,,
675HP29-SG,760063,NSE,,
675HR38-SG,756094,NSE,,
675KA33-SG,74,NSE,,
675KA33A-SG,618,NSE,,
675KA34-SG,1092,NSE,,
675KA35-SG,1006,NSE,,
675MH39-SG,756064,NSE,,
675MH40-SG,756097,NSE,,
675RJ30-SG,969,NSE,,
675RJ30A-SG,759863,NSE,,
675RJ31-SG,3195,NSE,,
675TR40-SG,756098,NSE,,
676AS32-SG,757730,NSE,,
676GS2061-GS,2317,NSE,,
676JK31-SG,756908,NSE,,
676MH37-SG,756062,NSE,,
676MP33-SG,95,NSE,,
676MP40-SG,1012,NSE,,
676PN40-SG,877,NSE,,
676RJ31-SG,3641,NSE,,
676TN31-SG,5742,NSE,,
677AP31-SG,758201,NSE,,
677AP38-SG,876,NSE,,
677AP40-SG,22422,NSE,,
677AS40-SG,757113,NSE,,
677BR28-SG,5227,NSE,,
677HR39-SG,757112,NSE,,
677KA33-SG,22421,NSE,,
677KA34-SG,35,NSE,,
677KL37-SG,757386,NSE,,
677MH30-SG,759907,NSE,,
677MH37-SG,756093,NSE,,
677MH38-SG,756095,NSE,,
677MP37-SG,756864,NSE,,
677MP39-SG,756865,NSE,,
677OR29-SG,759165,NSE,,
677PN43-SG,756099,NSE,,
677RJ31-SG,3511,NSE,,
677RJ31A-SG,5743,NSE,,
677TCL28-N0,759101,NSE,,
677TN29-SG,760274,NSE,,
677TN31-SG,3364,NSE,,
677TN40-SG,757114,NSE,,
677WB40-SG,42,NSE,,
678AP33-SG,756909,NSE,,
678AP37-SG,757385,NSE,,
678AP38-SG,3196,NSE,,
